Fortune Company,Fortune Rank,Fortune Domain,Publisher Name,Actual Android Publisher ID
United Technologies,45,utc.com,QuickMobile,
Western Union,468,westernunion.com,Western Union Android Apps,
Electronic Arts,543,ea.com,ELECTRONIC ARTS,
Mattel,450,mattel.com,"Fisher-Price, Inc.",
LinkedIn,733,linkedin.com,Dekra,
HP,20,hp.com,"Fiserv Solutions, Inc.",
U.S. Bank,131,usbank.com,U.S. Bank Mobile,
Microchip Technology,931,microchip.com,Microchip Technology Inc,
Cisco,54,cisco.com,"Cisco Systems, Inc.",
AbbVie,123,abbvie.com,AbbVie,
Raytheon,120,raytheon.com,Raytheon,
Dollar General,139,dollargeneral.com,Taqtile,
hhgregg,937,hhgregg.com,hhgregg,
Computer Sciences,233,csc.com,Android Argentina,
LinkedIn,733,linkedin.com,Triet Ho,
Norfolk Southern,270,nscorp.com,"Dashride, Inc.",
H&R Block,712,hrblock.com,H&R Block Digital Tax,
Gannett,752,gannett.com,TEGNA,
Tenneco,334,tenneco.com,App2Bizz.com,
Intel,51,intel.com,Intel Corporation,
HP,20,hp.com,HP Inc.,
LinkedIn,733,linkedin.com,Jerry.Li,
Bristol-Myers Squibb,168,bms.com,Albertronic B.V.,
Disney,53,disney.com,Disney Publishing Worldwide,
HP,20,hp.com,HP inc.,
Gannett,752,gannett.com,NebowwormXiang,
State Street Corp.,264,statestreet.com,Myt Co,
Disney,53,disney.com,Sony Mobile Communications,
Oracle,77,oracle.com,"Oracle America, Inc.",
Bank of New York Mellon Corp.,179,bnymellon.com,SpotMe,
Intuit,552,intuit.com,Intuit Inc,
IBM,31,ibm.com,George P. Johnson,
Juniper Networks,519,juniper.net,"Juniper Networks, Inc.",
FIS,392,fisglobal.com,FIS eBanking,
John Deere,97,johndeere.com,Movilizer GmbH,
Nvidia,508,nvidia.com,NVIDIA SHIELD Partners,
McKesson,5,mckesson.com,McKesson Corp,
The Coca-Cola Company,62,coca-colacompany.com,Coca-Cola,
Hasbro,550,hasbro.com,Hasbro Inc.,
Disney,53,disney.com,Marvel Games,
Disney,53,disney.com,Disney,
Nvidia,508,nvidia.com,NVIDIA,
Electronic Arts,543,ea.com,CHILLINGO,
VeriFone Systems,971,verifone.com,"VeriFone, Inc.",
Gannett,752,gannett.com,Gannett,
Time Warner Cable,116,twc.com,Time Warner Cable,
Electronic Arts,543,ea.com,Chillingo,
Trimble,896,trimble.com,Trimble Navigation,
AT&T,10,att.com,"AT&T Services, Inc.",
LinkedIn,733,linkedin.com,TAN Wee Hoe,
Honeywell,75,honeywell.com,"Honeywell International, Inc.",
GE,11,ge.com,General Electric Company,
Microsoft,25,microsoft.com,Microsoft Corporation,
Entergy,247,entergy.com,Entergy,
Discover Financial Services,283,discover.com,Happy Discover Mexico,
Jacobs Engineering Group,235,jacobs.com,Jacobs Engineering Inc.,
3M,93,3m.com,3M Company,
Harman International Industries,419,harman.com,K. Schmidle Druck & Medien GmbH,
Baxter International,286,baxter.com,DIGITHEALTH,
New York Life Insurance,61,newyorklife.com,New York Life Insurance Company,
Ford Motor Company,9,ford.com,Ford Motor Co.,
Principal Financial Group,236,principal.com,Principal Financial Group,
Sysco,57,sysco.com,"TheIRapp, LLC",
Philip Morris International,106,pmi.com,Philip Morris International Management SA,
Parker Hannifin,224,parker.com,Parker Hannifin Corporation,
Adobe,524,adobe.com,Adobe,
Baker Hughes,178,bakerhughes.com,"Baker Hughes Oilfield Operations, Inc",
Land Oâ€™Lakes,215,landolakesinc.com,"Land O'Lakes, Inc.",
Cisco,54,cisco.com,SiEBEN,
Philip Morris International,106,pmi.com,biipmi Pte Ltd,
CBRE Group,259,cbre.com,CBRE,
Commercial Metals,417,cmc.com,Seonix,
IBM,31,ibm.com,IBM Collaboration Solutions,
Goodyear Tire & Rubber,169,goodyear.com,The Goodyear Tire & Rubber Company,
Symantec,400,symantec.com,NortonMobile,
Time,707,timeinc.com,TI Media Solutions Inc.,
R.R. Donnelley & Sons,255,rrdonnelley.com,Tupperware,
Electronic Arts,543,ea.com,Mobile Studio INC,
Johnson Controls,70,johnsoncontrols.com,Johnson Controls Meetings Mobile Event App,
Baxter International,286,baxter.com,Benjamin Baxter,
EMC,113,emc.com,"RSA, The Security Division of EMC",
Heartland Payment Systems,796,heartlandpaymentsystems.com,Heartland Payment Systems,
Target,38,target.com,Target Corporation,
Bristol-Myers Squibb,168,bms.com,Bristol Myers Squibb,
Hyatt Hotels,562,hyatt.com,"Aruba Networks, Inc.",
AmerisourceBergen,12,amerisourcebergen.com,AmerisourceBergen Corp.,
DISH,187,dish.com,DISH Network LLC,
Google,36,google.com,Google Inc.,
Synnex,212,synnex.com,SYNNEX Corporation,
GE,11,ge.com,General Electric  Company,
SuperValu,160,supervalu.com,SUPERVALU Inc.,
LinkedIn,733,linkedin.com,HKM Dev.,
Tech Data,108,techdata.com,Adam Trainor,
HP,20,hp.com,Hewlett Packard Enterprise Company,
Philip Morris International,106,pmi.com,RBH Inc,
Walmart,1,walmart.com,Wal-mart de MÃ©xico,
LinkedIn,733,linkedin.com,Gamelon,
Voya Financial,252,voya.com,Voya Financial,
American Express,85,americanexpress.com,American Express,
LinkedIn,733,linkedin.com,&mobile,
Xerox,150,xerox.com,Xerox,
American Express,85,americanexpress.com,Banco Bradesco SA,
Hertz,269,hertz.com,The Hertz Corporation,
Johnson Controls,70,johnsoncontrols.com,"Johnson Controls, Inc.",
LinkedIn,733,linkedin.com,Kishore Saraswathula,
Marsh & McLennan,222,mmc.com,Peter Suraj Joseph,
LinkedIn,733,linkedin.com,Look Rio,
L-3 Communications,245,l-3com.com,L-3 Communications,
Level 3 Communications,333,level3.com,"Level 3 Communications, LLC.",
ConocoPhillips,90,conocophillips.com,Phillips 66 Company,
J.B. Hunt Transport Services,416,jbhunt.com,"J.B. Hunt Transport, Inc.",
Nike,91,nike.com,"Nike, Inc.",
Nuance Communications,984,nuance.com,"Nuance Communications, Inc",
PPG Industries,182,ppg.com,"PPG Industries, Inc",
LinkedIn,733,linkedin.com,Univcoda AS,
Qualcomm,110,qualcomm.com,Snapdragon Game Studio,
Bristol-Myers Squibb,168,bms.com,THRONE 3D Control Platform,
Thermo Fisher Scientific,164,thermofisher.com,Life Technologies,
LinkedIn,733,linkedin.com,The AppGuru,
International Paper,127,internationalpaper.com,MZ Group,
3M,93,3m.com,Colorix,
HP,20,hp.com,dpnan51,
The Kroger Co.,17,kroger.com,The Kroger Co.,
Celgene,305,celgene.com,Celgene Corporation,
Citrix,676,citrix.com,Citrix,
DuPont,101,dupont.com,DuPont,
iHeartMedia,414,iheartmedia.com,GoodRx,
International Paper,127,internationalpaper.com,International Paper,
Ford Motor Company,9,ford.com,Lerictabz,
Motorola Solutions,451,motorolasolutions.com,Twisted Pair Solutions,
Harman International Industries,419,harman.com,Harman Professional,
Baxter International,286,baxter.com,"American Heart Association, Inc",
Applied Materials,295,appliedmaterials.com,Open Gadgets LLC,
Phillips 66,30,phillips66.com,Phillips 66 Mobility,
Whirlpool,134,whirlpoolcorp.com,Whirlpool Corporation,
Johnson & Johnson,39,jnj.com,Johnson & Johnson Health & Wellness Solutions Inc.,
Juniper Networks,519,juniper.net,Juniper Networks Inc. and Affiliates,
Computer Sciences,233,csc.com,App My Way,
LinkedIn,733,linkedin.com,HAYTHEM  ALYAHYA,
Yahoo,513,yahoo.com,Yahoo,
LinkedIn,733,linkedin.com,Pyae Phyoe Shein,
Performance Food Group,185,pfgc.com,Retalix,
United Technologies,45,utc.com,SASApps,
Univision,759,univision.com,Screenz Crossmedia,
Precision Castparts,282,precast.com,Bit Xpert Technologies,
LinkedIn,733,linkedin.com,Abraham Makovetsky,
Kimberly-Clark,151,kimberly-clark.com,Kimberly-Clark Corporation,
Fiserv,492,fiserv.com,MetaBank,
Cognizant Technology Solutions,230,cognizant.com,Manish Pandey,
LinkedIn,733,linkedin.com,Mohamed Hussien,
Amgen,130,amgen.com,Camgen LTD,
Abbott,138,abbott.com,Abbott,
Abbott,138,abbott.com,TACTO MOTION,
LinkedIn,733,linkedin.com,Sean Lim,
LinkedIn,733,linkedin.com,Didier Girard,
Abercrombie & Fitch,644,abercrombie.com,Abercrombie & Fitch,
Precision Castparts,282,precast.com,Footprint Media Business Apps,
Ford Motor Company,9,ford.com,"INRIX, Inc.",
Tenet Healthcare,140,tenethealth.com,"Tenet HealthSystem Medical, Inc.",
Emerson,128,emerson.com,"Emerson Climate Technologies, Inc",
Intel,51,intel.com,D6 Technology,
HP,20,hp.com,inEvidence,
Navistar International,281,navistar.com,"Navistar, Inc.",
State Farm,35,statefarm.com,"AudaExplore, a Solera Company",
Ford Motor Company,9,ford.com,Lincoln Motor Company,
Symantec,400,symantec.com,Symantec VIP,
Symantec,400,symantec.com,Symantec Corporation,
F5 Networks,990,f5.com,F5 Networks Inc.,
Citizens Bank,486,citizensbank.com,"Citizens Bank, N.A.",
Allstate,81,allstate.com,"ARITY, LLC",
Paychex,783,paychex.com,"Paychex, Inc",
LinkedIn,733,linkedin.com,Adriano Jose Boller,
Avnet,102,avnet.com,Avnet Mobile,
Mattel,450,mattel.com,Mattel,
Caterpillar,59,caterpillar.com,Caterpillar Inc.,
AT&T,10,att.com,"ActSoft, Inc.",
ADP,248,adp.com,"ADP, LLC",
Biogen,263,biogen.com,Biogen,
Fiserv,492,fiserv.com,Adams Bank & Trust App Development,
Cummins,148,cummins.com,Cummins Inc,
Huntsman,277,huntsman.com,Huntsman Advanced Materials GmbH Switzerland,
Computer Sciences,233,csc.com,Computer Sciences Corporation,
LinkedIn,733,linkedin.com,AndyMarcial,
Adobe,524,adobe.com,CLEAN & GREEN LIFESTYLE,
ADT,635,adt.com,Duane Odom,
LinkedIn,733,linkedin.com,Khanh Do,
AT&T,10,att.com,"Asurion Mobile Applications, LLC.",
Staples,132,staples.com,"Staples, Inc.",
Fiserv,492,fiserv.com,First Advantage Bank,
LinkedIn,733,linkedin.com,JOSE LUIS GUTIERREZ,
T. Rowe Price,573,troweprice.com,T. Rowe Price,
AECOM,156,aecom.com,"Project Partners, LLC.",
IBM,31,ibm.com,International Business Machines Corp.,
Aetna,46,aetna.com,Aetna Life Insurance Company,
Aflac,135,aflac.com,BreakAway Games,
Aflac,135,aflac.com,Aflac US,
Norfolk Southern,270,nscorp.com,Media Solutions Corporation,
MetLife,40,metlife.com,Metlife Inc,
ManpowerGroup,144,manpowergroup.com,Manpower Mobile,
Visa,204,visa.com,Visa Inc.,
Mastercard,294,mastercard.com,MasterCard,
Domino's Pizza,915,dominos.com,Domino's Pizza LLC,
Honeywell,75,honeywell.com,ShowMeTheParts,
Nationwide,69,nationwide.com,Nationwide Insurance,
AGCO,360,agcocorp.com,AGCO Corporation,
AGCO,360,agcocorp.com,Agcocorp Inc,
MetLife,40,metlife.com,Datahouse,
Ingram Micro,64,ingrammicro.com,Ingram Micro Distribution GmbH,
HP,20,hp.com,"Hewlett Packard Development Company, L.P.",
State Farm,35,statefarm.com,State Farm Insurance,
Mastercard,294,mastercard.com,CardsMobile,
Monsanto,189,monsanto.com,Monsanto Company,
HP,20,hp.com,Concept,
John Deere,97,johndeere.com,John Deere,
Boeing,24,boeing.com,The Boeing Company,
Bristol-Myers Squibb,168,bms.com,First Data Corp.,
LinkedIn,733,linkedin.com,Android App Team,
Rite Aid,107,riteaid.com,Rite Aid,
Sealed Air,375,sealedair.com,The Leverage Marketing Group,
Air Products & Chemicals,288,airproducts.com,"Air Products & Chemicals, Inc.",
Northrop Grumman,118,northropgrumman.com,Park Air Systems Ltd,
Amazon,18,amazon.com,Amazon Mobile LLC,
LinkedIn,733,linkedin.com,Zdenek Jonas,
Alaska Airlines,459,alaskaair.com,Alaska Airlines,
Southwest Airlines,142,southwest.com,Southwest Airlines,
American Airlines,67,aa.com,"American Airlines, Inc.",
Hawaiian Airlines,884,hawaiianairlines.com,Hawaiian Airlines,
Textron,209,textron.com,Textron Inc.,
LinkedIn,733,linkedin.com,Ä¢irts Karlovskis,
Charter Communications,292,charter.com,Bobby White,
Hartford Financial Services Group,152,thehartford.com,Livegenic Inc,
Honeywell,75,honeywell.com,Honeywell Security EMEA,
LinkedIn,733,linkedin.com,Arda Ã‡UHADAROÄ_LU,
Fiserv,492,fiserv.com,"Albany Bank & Trust Company, N.A.",
IMS Health,746,imshealth.com,IMS Health,
OG&E,921,oge.com,Netpresenter,
Fiserv,492,fiserv.com,"Alerus Financial, N.A.",
LinkedIn,733,linkedin.com,Boris Petrov,
Philip Morris International,106,pmi.com,Â© 2014 Philip Morris Brands SARL,
Yum! Brands,218,yum.com,Yum Global Restaurant Information Systems,
Qualcomm,110,qualcomm.com,"Qualcomm Connected Experiences, Inc.",
Allstate,81,allstate.com,Allstate Insurance Co.,
Ally Financial,298,ally.com,Ally Financial,
Campbell Soup Company,337,campbellsoupcompany.com,Campbell Soup Co,
LinkedIn,733,linkedin.com,Radek Chmielewski,
Xerox,150,xerox.com,purechannelapps,
LinkedIn,733,linkedin.com,Ammad Amjad,
Anadarko Petroleum,324,anadarko.com,Anadarko Petroleum Corporation,
Citi,29,citigroup.com,Citibank N.A.,
Xerox,150,xerox.com,Fuji Xerox (Hong Kong) Limited,
Ameren,425,ameren.com,Ameren Corporation,
Bank of America,26,bankofamerica.com,Bank of America,
Fiserv,492,fiserv.com,American National Bank Fox Cities,
Ameriprise Financial,232,ameriprise.com,"Ameriprise Financial, Inc.",
American Family Insurance Group,332,amfam.com,American Family Insurance,
Parker Hannifin,224,parker.com,MontixMobile,
LinkedIn,733,linkedin.com,Muhammad Zakaria MADIAN,
Aflac,135,aflac.com,Pixfusion,
Thermo Fisher Scientific,164,thermofisher.com,Thermo Fisher Scientific,
Salesforce,386,salesforce.com,"Salesforce.com, inc.",
LinkedIn,733,linkedin.com,Gao Feng,
Computer Sciences,233,csc.com,Scope Technologies,
American Greetings,968,americangreetings.com,American Greetings,
Liberty Mutual Insurance,73,libertymutual.com,Liberty Mutual Insurance Company,
Bed Bath & Beyond,238,bedbathandbeyond.com,Bed Bath & Beyond,
LinkedIn,733,linkedin.com,RevoTeam,
Fiserv,492,fiserv.com,GulfCoastBankDev,
Fiserv,492,fiserv.com,First Bank and Trust,
Norfolk Southern,270,nscorp.com,DataNet Systems Corp.,
Fiserv,492,fiserv.com,C&F Bank Toano,
Twitter,914,twitter.com,"Twitter, Inc.",
Citrix,676,citrix.com,Zenprise,
Univision,759,univision.com,Univision Communications Inc.,
LinkedIn,733,linkedin.com,Daniel Georgiev,
P&G,34,pg.com,doubleleft,
Commercial Metals,417,cmc.com,GSiMedia Secure Corp.,
