ecc_id,bc_name,Has Adobe SDK
1299,"HASBRO, INC.",Y
6219,CAMPBELL SOUP COMPANY,Y
12270,NAVY FEDERAL CREDIT UNION,Y
16575,"COACH, INC.",Y
21275,ENVIRONMENTAL SYSTEMS RESEARCH,Y
24156,"CONSUMER REPORTS, INC.",Y
41933,"UNITED HEALTHCARE SERVICES, INC ON",Y
45647,FLORIDA POWER AND LIGHT CO,Y
45864,SEARS HOLDINGS MANAGEMENT,Y
46801,"CARLSON HOTELS, INC",Y
54727,HOUGHTON MIFFLIN,Y
68962,JEPPESEN SANDERSON,Y
70946,MILLERCOORS LLC,Y
78464,SONY PICTURES ENTERTAINMENT,Y
90961,"UBM INVESTMENTS, INC.",Y
122217,"MARSH AND MCLENNAN COMPANIES, INC.",Y
163827,"NATIONAL APPRAISAL GUIDES, INC.",Y
174963,NEWSDAY LLC,Y
181644,INTERNATIONAL MONETARY FUND,Y
259414,THE CHRISTIAN BROADCASTING,Y
469778,AMERICAN FAMILY MUTUAL INSURANCE,Y
1000027,FARM CREDIT CANADA,Y
1000952,NATIONWIDE BUILDING SOCIETY,Y
1008510,MOEN INC,Y
1014966,"AMERICREDIT FINANCIAL SERVICES, INC",Y
1077835,CONRAD ELECTRONIC SE,Y
1077932,MERCK KGAA,Y
1078266,FEDERATION FRANCAISE DE TENNIS,Y
1141807,"HP, INC.",Y
1234510,ONTARIO TEACHERS' PENSION PLAN BOAR,Y
1264824,BRITISH AIRWAYS PLC,Y
1279854,LPL FINANCIAL LLC,Y
1295938,"COX COMMUNICATIONS, INC.",Y
1342729,LIBERTY MUTUAL INSURANCE COMPANY,Y
1343846,STATE FARM MUTUAL AUTOMOBILE,Y
1353682,"MANHEIM REMARKETING, INC",Y
1405647,STRYKER CORPORATION,Y
1406473,"HONDA NORTH AMERICA, INC.",Y
1415345,RED BULL MEDIA HOUSE,Y
1415410,NXP USA INC. FORMERLY,Y
1415424,ING BANK N.V.,Y
1415814,ACE HARDWARE CORPORATION,Y
1416889,BNP PARIBAS SA,Y
1416891,WELLS FARGO BANK N.A.,Y
1417093,STATE STREET GLOBAL ADVISORS,Y
1417453,BELFIUS BANK NV,Y
1417568,TIETO-TAPIOLA OY,Y
1417733,FIFTH THIRD BANK,Y
1419344,WEIGHTWATCHERS.COM INC,Y
1421092,"CVS PHARMACY, INC.",Y
1421320,KAISER FOUNDATION HOSPITALS,Y
1421867,"CISCO SYSTEMS, INC.",Y
1422016,SONY CORPORATION,Y
1422957,PROQUIRE LLC,Y
1423095,DEUTSCHE POST AG,Y
1423112,WALT DISNEY INTERNET GROUP,Y
1424313,"ALLERGAN SALES, LLC",Y
1424675,GRUNDFOS HOLDING AS,Y
1424742,TURNER BROADCASTING SYSTEM INC,Y
1424947,THE SCOTTS COMPANY LLC,Y
1424988,SCHOLASTIC INC.,Y
