NAME,RANK (2014),RANK (2013),CEO,WEBSITE,STREETADD,PLACE,ZIP,STATE,X,Y
Wal-Mart Stores,1,1,C. Douglas McMillon,www.corporate.walmart.com,702 S.W. Eighth St.,Bentonville,72716,AR,-94.21763338,36.36526804
Exxon Mobil,2,2,Rex W. Tillerson,www.exxonmobil.com,5959 Las Colinas Blvd.,Irving,75039,TX,-96.94990678,32.89000891
Chevron,3,3,John S. Watson,www.chevron.com,6001 Bollinger Canyon Rd.,San Ramon,94583,CA,-121.9580953,37.75825135
Berkshire Hathaway,4,5,Warren E. Buffett,www.berkshirehathaway.com,3555 Farnam St.,Omaha,68131,NE,-95.9654698,41.2574976
Apple,5,6,Timothy D. Cook,www.apple.com,1 Infinite Loop,Cupertino,95014,CA,-122.030329,37.33174596
Phillips 66,6,4,Greg C. Garland,www.phillips66.com,3010 Briarpark Dr.,Houston,77042,TX,-95.55018841,29.73220313
General Motors,7,7,Mary T. Barra,www.gm.com,300 Renaissance Center,Detroit,48265,MI,-83.04078949,42.32837901
Ford Motor,8,10,Alan R. Mulally,www.ford.com,1 American Rd.,Dearborn,48126,MI,-83.21123952,42.31379726
General Electric,9,8,Jeffrey R. Immelt,www.ge.com,3135 Easton Turnpike,Fairfield,6828,CT,-73.25258608,41.21622784
Valero Energy,10,9,Joseph Gorder,www.valero.com,1 Valero Way,San Antonio,78249,TX,-98.606373,29.58421567
AT&T,11,11,Randall L. Stephenson,www.att.com,208 S. Akard St.,Dallas,75202,TX,-96.79877972,32.7795596
CVS Caremark,12,13,Larry J. Merlo,info.cvscaremark.com,1 CVS Dr.,Woonsocket,2895,RI,-71.47726185,41.9907568
Fannie Mae,13,12,Timothy J. Mayopoulos,www.fanniemae.com,3900 Wisconsin Ave. N.W.,Washington,20016,DC,-77.07655823,38.94048354
UnitedHealth Group,14,17,Stephen J. Hemsley,www.unitedhealthgroup.com,9900 Bren Rd. E.,Minnetonka,55343,MN,-93.403186,44.89739539
McKesson,15,14,John H. Hammergren,www.mckesson.com,1 Post St.,San Francisco,94104,CA,-122.4026929,37.78885464
Verizon Communications,16,16,Lowell C. McAdam,www.verizon.com,140 West St.,New York,10007,NY,-74.01316157,40.71383186
Hewlett-Packard,17,15,Margaret C. Whitman,www.hp.com,3000 Hanover St.,Palo Alto,94304,CA,-122.1463418,37.41474898
J.P. Morgan Chase & Co.,18,18,James Dimon,www.jpmorganchase.com,270 Park Ave.,New York,10017,NY,-73.97538843,40.75580896
Costco Wholesale,19,22,W. Craig Jelinek,www.costco.com,999 Lake Dr.,Issaquah,98027,WA,-122.0506451,47.5486761
Express Scripts Holding,20,24,George Paz,www.express-scripts.com,1 Express Way,St. Louis,63121,MO,-90.31091383,38.71869432
Bank of America,21,21,Brian T. Moynihan,www.bankofamerica.com,100 N. Tryon St.,Charlotte,28255,NC,-80.8422893,35.22730651
Cardinal Health,22,19,George S. Barrett,www.cardinal.com,7000 Cardinal Place,Dublin,43017,OH,-83.12039587,40.10885427
International Business Machines,23,20,Virginia M. Rometty,www.ibm.com,1 New Orchard Rd.,Armonk,10504,NY,-73.7214844,41.10717798
Kroger,24,23,W. Rodney McMullen,www.thekrogerco.com,1014 Vine St.,Cincinnati,45202,OH,-84.51388452,39.10680758
Marathon Petroleum,25,33,Gary R. Heminger,www.marathonpetroleum.com,539 S. Main St.,Findlay,45840,OH,-83.64972681,41.03607077
Citigroup,26,26,Michael L. Corbat,www.citigroup.com,399 Park Ave.,New York,10022,NY,-73.971978,40.75902695
Archer Daniels Midland,27,27,Patricia A. Woertz,www.adm.com,4666 Faries Pkwy.,Decatur,62526,IL,-88.88726102,39.86511832
AmerisourceBergen,28,32,Steven H. Collis,www.amerisourcebergen.com,1300 Morris Dr.,Chesterbrook,19087,PA,-75.46832877,40.0685231
Wells Fargo,29,25,John G. Stumpf,www.wellsfargo.com,420 Montgomery St.,San Francisco,94163,CA,-122.4026984,37.79339289
Boeing,30,30,W. James McNerney Jr.,www.boeing.com,100 N. Riverside Plaza,Chicago,60606,IL,-87.63881941,41.88331478
Procter & Gamble,31,28,Alan G. Lafley,www.pg.com,1 Procter & Gamble Plaza,Cincinnati,45202,OH,-84.50577727,39.10277286
Freddie Mac,32,31,Donald H. Layton,www.freddiemac.com,8200 Jones Branch Dr.,McLean,22102,VA,-77.22702846,38.93239864
Home Depot,33,34,Francis S. Blake,www.homedepot.com,2455 Paces Ferry Rd. N.W.,Atlanta,30339,GA,-84.43232486,33.84840793
Microsoft,34,35,Satya Nadella,www.microsoft.com,1 Microsoft Way,Redmond,98052,WA,-122.1283796,47.63958785
Amazon.com,35,49,Jeffrey P. Bezos,www.amazon.com,410 Terry Ave. N.,Seattle,98109,WA,-122.3368265,47.62228331
Target,36,36,"John J. Mulligan, Interim CEO",www.target.com,1000 Nicollet Mall,Minneapolis,55403,MN,-93.27542725,44.97406416
Walgreen Co.,37,37,Gregory D. Wasson,www.walgreens.com,108 Wilmot Rd.,Deerfield,60015,IL,-87.86875634,42.15568968
WellPoint,38,47,Joseph R. Swedish,www.wellpoint.com,120 Monument Circle,Indianapolis,46204,IN,-86.15880284,39.76913469
