Name,Rank,Website
Walmart,1,http://www.walmart.com
Exxon Mobil,2,http://www.exxonmobil.com
Apple,3,http://www.apple.com
Berkshire Hathaway,4,http://www.berkshirehathaway.com
McKesson,5,http://www.mckesson.com
UnitedHealth Group,6,http://www.unitedhealthgroup.com
CVS Health,7,http://www.cvshealth.com
General Motors,8,http://www.gm.com
Ford Motor,9,http://www.ford.com
AT&T,10,http://www.att.com
General Electric,11,http://www.ge.com
AmerisourceBergen,12,http://www.amerisourcebergen.com
Verizon,13,http://www.verizon.com
Chevron,14,http://www.chevron.com
Costco,15,http://www.costco.com
Fannie Mae,16,http://www.fanniemae.com
Kroger,17,http://www.thekrogerco.com
Amazon.com,18,http://www.amazon.com
Walgreens Boots Alliance,19,http://www.walgreensbootsalliance.com
HP,20,http://www.hp.com
Cardinal Health,21,http://www.cardinalhealth.com
Express Scripts Holding,22,http://www.express-scripts.com
J.P. Morgan Chase,23,http://www.jpmorganchase.com
Boeing,24,http://www.boeing.com
Microsoft,25,http://www.microsoft.com
Bank of America Corp.,26,http://www.bankofamerica.com
Wells Fargo,27,http://www.wellsfargo.com
Home Depot,28,http://www.homedepot.com
Citigroup,29,http://www.citigroup.com
Phillips 66,30,http://www.phillips66.com
IBM,31,http://www.ibm.com
Valero Energy,32,http://www.valero.com
Anthem,33,http://www.antheminc.com
Procter & Gamble,34,http://www.pg.com
State Farm Insurance Cos.,35,http://www.statefarm.com
Alphabet,36,http://www.abc.xyz
Comcast,37,http://www.comcastcorporation.com
Target,38,http://www.target.com
Johnson & Johnson,39,http://www.jnj.com
MetLife,40,http://www.metlife.com
Archer Daniels Midland,41,http://www.adm.com
Marathon Petroleum,42,http://www.marathonpetroleum.com
Freddie Mac,43,http://www.freddiemac.com
PepsiCo,44,http://www.pepsico.com
United Technologies,45,http://www.utc.com
Aetna,46,http://www.aetna.com
Lowe’s,47,http://www.lowes.com
UPS,48,http://www.ups.com
AIG,49,http://www.aig.com
Prudential Financial,50,http://www.prudential.com
Intel,51,http://www.intel.com
Humana,52,http://www.humana.com
Disney,53,http://www.disney.com
Cisco Systems,54,http://www.cisco.com
Pfizer,55,http://www.pfizer.com
Dow Chemical,56,http://www.dow.com
Sysco,57,http://www.sysco.com
FedEx,58,http://www.fedex.com
Caterpillar,59,http://www.caterpillar.com
Lockheed Martin,60,http://www.lockheedmartin.com
New York Life Insurance,61,http://www.newyorklife.com
Coca-Cola,62,http://www.coca-colacompany.com
HCA Holdings,63,http://www.hcahealthcare.com
Ingram Micro,64,http://www.ingrammicro.com
Energy Transfer Equity,65,http://www.energytransfer.com
Tyson Foods,66,http://www.tysonfoods.com
American Airlines Group,67,http://www.aa.com
Delta Air Lines,68,http://www.delta.com
Nationwide,69,http://www.nationwide.com
Johnson Controls,70,http://www.johnsoncontrols.com
Best Buy,71,http://www.bestbuy.com
Merck,72,http://www.merck.com
Liberty Mutual Insurance Group,73,http://www.libertymutual.com
Goldman Sachs Group,74,http://www.gs.com
Honeywell International,75,http://www.honeywell.com
Massachusetts Mutual Life Insurance,76,http://www.massmutual.com
Oracle,77,http://www.oracle.com
Morgan Stanley,78,http://www.morganstanley.com
Cigna,79,http://www.cigna.com
United Continental Holdings,80,http://www.unitedcontinentalholdings.com
Allstate,81,http://www.allstate.com
TIAA,82,http://www.tiaa.org
INTL FCStone,83,http://www.intlfcstone.com
CHS,84,http://www.chsinc.com
American Express,85,http://www.americanexpress.com
Gilead Sciences,86,http://www.gilead.com
Publix Super Markets,87,http://www.publix.com
General Dynamics,88,http://www.generaldynamics.com
TJX,89,http://www.tjx.com
ConocoPhillips,90,http://www.conocophillips.com
Nike,91,http://www.nike.com
World Fuel Services,92,http://www.wfscorp.com
3M,93,http://www.3m.com
Mondelez International,94,http://www.mondelezinternational.com
Exelon,95,http://www.exeloncorp.com
Twenty-First Century Fox,96,http://www.21cf.com
Deere,97,http://www.johndeere.com
Tesoro,98,http://www.tsocorp.com
Time Warner,99,http://www.timewarner.com
Northwestern Mutual,100,http://www.northwesternmutual.com
DuPont,101,http://www.dupont.com
Avnet,102,http://www.avnet.com
Macy’s,103,http://www.macysinc.com
Enterprise Products Partners,104,http://www.enterpriseproducts.com
Travelers Cos.,105,http://www.travelers.com
Philip Morris International,106,http://www.pmi.com
Rite Aid,107,http://www.riteaid.com
Tech Data,108,http://www.techdata.com
McDonald’s,109,http://www.aboutmcdonalds.com
Qualcomm,110,http://www.qualcomm.com
Sears Holdings,111,http://www.searsholdings.com
Capital One Financial,112,http://www.capitalone.com
EMC,113,http://www.emc.com
USAA,114,http://www.usaa.com
Duke Energy,115,http://www.duke-energy.com
Time Warner Cable,116,http://www.twc.com
Halliburton,117,http://www.halliburton.com
Northrop Grumman,118,http://www.northropgrumman.com
Arrow Electronics,119,http://www.arrow.com
Raytheon,120,http://www.raytheon.com
Plains GP Holdings,121,http://www.plainsallamerican.com
US Foods Holding,122,http://www.usfoods.com
AbbVie,123,http://www.abbvie.com
Centene,124,http://www.centene.com
Community Health Systems,125,http://www.chs.net
Arconic,126,https://www.arconic.com
International Paper,127,http://www.internationalpaper.com
Emerson Electric,128,http://www.emerson.com
Union Pacific,129,http://www.up.com
Amgen,130,http://www.amgen.com
U.S. Bancorp,131,http://www.usbank.com
Staples,132,http://www.staples.com
Danaher,133,http://www.danaher.com
Whirlpool,134,http://www.whirlpoolcorp.com
Aflac,135,http://www.aflac.com
AutoNation,136,http://www.autonation.com
Progressive,137,http://www.progressive.com
Abbott Laboratories,138,http://www.abbott.com
Dollar General,139,http://www.dollargeneral.com
Tenet Healthcare,140,http://www.tenethealth.com
Eli Lilly,141,http://www.lilly.com
Southwest Airlines,142,http://www.southwest.com
Penske Automotive Group,143,http://www.penskeautomotive.com
ManpowerGroup,144,http://www.manpowergroup.com
Kohl’s,145,http://www.kohls.com
Starbucks,146,http://www.starbucks.com
Paccar,147,http://www.paccar.com
Cummins,148,http://www.cummins.com
Altria Group,149,http://www.altria.com
Xerox,150,http://www.xerox.com
Kimberly-Clark,151,http://www.kimberly-clark.com
Hartford Financial Services Group,152,http://www.thehartford.com
Kraft Heinz,153,http://www.kraftheinzcompany.com
Lear,154,http://www.lear.com
Fluor,155,http://www.fluor.com
AECOM,156,http://www.aecom.com
Facebook,157,http://www.facebook.com
Jabil Circuit,158,http://www.jabil.com
CenturyLink,159,http://www.centurylink.com
Supervalu,160,http://www.supervalu.com
General Mills,161,http://www.generalmills.com
Southern,162,http://www.southerncompany.com
NextEra Energy,163,http://www.nexteraenergy.com
Thermo Fisher Scientific,164,http://www.thermofisher.com
American Electric Power,165,http://www.aep.com
PG&E Corp.,166,http://www.pgecorp.com
NGL Energy Partners,167,http://www.nglenergypartners.com
Bristol-Myers Squibb,168,http://www.bms.com
Goodyear Tire & Rubber,169,http://www.goodyear.com
Nucor,170,http://www.nucor.com
PNC Financial Services Group,171,http://www.pnc.com
Health Net,172,http://www.healthnet.com
Micron Technology,173,http://www.micron.com
Colgate-Palmolive,174,http://www.colgatepalmolive.com
Freeport-McMoRan,175,http://www.fcx.com
ConAgra Foods,176,http://www.conagrafoods.com
Gap,177,http://www.gapinc.com
Baker Hughes,178,http://www.bakerhughes.com
Bank of New York Mellon Corp.,179,http://www.bnymellon.com
Dollar Tree,180,http://www.dollartree.com
Whole Foods Market,181,http://www.wholefoodsmarket.com
PPG Industries,182,http://www.ppg.com
Genuine Parts,183,http://www.genpt.com
Icahn Enterprises,184,http://www.ielp.com
Performance Food Group,185,http://www.pfgc.com
Omnicom Group,186,http://www.omnicomgroup.com
DISH Network,187,http://www.dish.com
FirstEnergy,188,http://www.firstenergycorp.com
Monsanto,189,http://www.monsanto.com
AES,190,http://www.aes.com
CarMax,191,http://www.carmax.com
National Oilwell Varco,192,http://www.nov.com
NRG Energy,193,http://www.nrg.com
Western Digital,194,http://www.westerndigital.com
Marriott International,195,http://www.marriott.com
Office Depot,196,http://www.officedepot.com
Nordstrom,197,http://www.nordstrom.com
Kinder Morgan,198,http://www.kindermorgan.com
Aramark,199,http://www.aramark.com
DaVita,200,http://www.davita.com
Molina Healthcare,201,http://www.molinahealthcare.com
WellCare Health Plans,202,http://www.wellcare.com
CBS,203,http://www.cbscorporation.com
Visa,204,http://www.visa.com
Lincoln National,205,http://www.lfg.com
Ecolab,206,http://www.ecolab.com
Kellogg,207,http://www.kelloggcompany.com
C.H. Robinson Worldwide,208,http://www.chrobinson.com
Textron,209,http://www.textron.com
Loews,210,http://www.loews.com
Illinois Tool Works,211,http://www.itw.com
Synnex,212,http://www.synnex.com
Viacom,213,http://www.viacom.com
HollyFrontier,214,http://www.hollyfrontier.com
Land O’Lakes,215,http://www.landolakesinc.com
Devon Energy,216,http://www.devonenergy.com
PBF Energy,217,http://www.pbfenergy.com
Yum Brands,218,http://www.yum.com
Texas Instruments,219,http://www.ti.com
CDW,220,http://www.cdw.com
Waste Management,221,http://www.wm.com
Marsh & McLennan,222,http://www.mmc.com
Chesapeake Energy,223,http://www.chk.com
Parker-Hannifin,224,http://www.parker.com
Occidental Petroleum,225,http://www.oxy.com
Guardian Life Ins. Co. of America,226,http://www.guardianlife.com
Farmers Insurance Exchange,227,http://www.farmers.com
J.C. Penney,228,http://www.jcpenney.com
Consolidated Edison,229,http://www.conedison.com
Cognizant Technology Solutions,230,http://www.cognizant.com
VF,231,http://www.vfc.com
Ameriprise Financial,232,http://www.ameriprise.com
Computer Sciences,233,http://www.csc.com
L Brands,234,http://www.lb.com
Jacobs Engineering Group,235,http://www.jacobs.com
Principal Financial Group,236,http://www.principal.com
Ross Stores,237,http://www.rossstores.com
Bed Bath & Beyond,238,http://www.bedbathandbeyond.com
CSX,239,http://www.csx.com
Toys “R” Us,240,http://www.toysrusinc.com
Las Vegas Sands,241,http://www.sands.com
Leucadia National,242,http://www.leucadia.com
Dominion Resources,243,http://www.dom.com
United States Steel,244,http://www.ussteel.com
L-3 Communications,245,http://www.l-3com.com
Edison International,246,http://www.edisoninvestor.com
Entergy,247,http://www.entergy.com
ADP,248,http://www.adp.com
First Data,249,http://www.firstdata.com
BlackRock,250,http://www.blackrock.com
WestRock,251,http://www.westrock.com
Voya Financial,252,http://www.voya.com
Sherwin-Williams,253,http://www.sherwin.com
Hilton Worldwide Holdings,254,http://www.hiltonworldwide.com
R.R. Donnelley & Sons,255,http://www.rrdonnelley.com
Stanley Black & Decker,256,http://www.stanleyblackanddecker.com
Xcel Energy,257,http://www.xcelenergy.com
Murphy USA,258,http://corporate.murphyusa.com
CBRE Group,259,http://www.cbre.com
D.R. Horton,260,http://www.drhorton.com
Estee Lauder,261,http://www.elcompanies.com
Praxair,262,http://www.praxair.com
Biogen,263,http://www.biogen.com
State Street Corp.,264,http://www.statestreet.com
Unum Group,265,http://www.unum.com
Reynolds American,266,http://www.reynoldsamerican.com
Group 1 Automotive,267,http://www.group1auto.com
Henry Schein,268,http://www.henryschein.com
Hertz Global Holdings,269,http://www.hertz.com
Norfolk Southern,270,http://www.nscorp.com
Reinsurance Group of America,271,http://www.rgare.com
Public Service Enterprise Group,272,http://www.pseg.com
BB&T Corp.,273,http://www.bbt.com
DTE Energy,274,http://www.dteenergy.com
Assurant,275,http://www.assurant.com
Global Partners,276,http://www.globalp.com
Huntsman,277,http://www.huntsman.com
Becton Dickinson,278,http://www.bd.com
Sempra Energy,279,http://www.sempra.com
