Fortune Company,Fortune Rank,Fortune Domain,Publisher Name,Actual iOS Publisher ID,,x = unable to correct
Mattel,450,mattel.com,"Fisher-Price, Inc.",,,"When multiple IDs listed, reasonably any of them"
U.S. Bank,131,usbank.com,U.S. Bancorp,,,
Weis Markets,756,weismarkets.com,"MyWebGrocer, LLC",,,
New York Life Insurance,61,newyorklife.com,Appsme Ltd,x,,
Ingram Micro,64,ingrammicro.com,Mobimento Mobile S.L.,x,,
Cisco,54,cisco.com,Cisco,,,
Trimble,896,trimble.com,Trimble Navigation Limited,,,
Computer Sciences,233,csc.com,Novateur LLC,18045,,
Honeywell,75,honeywell.com,"Honeywell International, Inc.",,,
Honeywell,75,honeywell.com,Honeywell International Inc.,,,
Discover Financial Services,283,discover.com,Octavio Velarde,32529,,
Disney,53,disney.com,Disney Publishing Worldwide Applications,,,
Norfolk Southern,270,nscorp.com,"Dashride, Inc.",55383,,
Xerox,150,xerox.com,"Fuji Xerox Co., Ltd.",,,
Thermo Fisher Scientific,164,thermofisher.com,Thermo Fisher Scientific,,,
HP,20,hp.com,HP Inc.,,,
Computer Sciences,233,csc.com,"Qinhuangdao Tianchao Computer Technology Co., Ltd.",18045,,
Amgen,130,amgen.com,Shockfish SA,107833,,
LinkedIn,733,linkedin.com,Felipe B. Valio,49183,,
Illinois Tool Works,211,itw.com,IGOR LEONARDO SOUSA,x,,
Broadcom,331,broadcom.com,"LevelUp Consulting, LLC",72957,,
TJX,89,tjx.com,Jiang Hao,x,,
Hasbro,550,hasbro.com,"Hasbro, Inc.",,,
Electronic Arts,543,ea.com,Electronic Arts,,,
Mondel�襷 International,94,mondelezinternational.com,MONDELEZ GLOBAL LLC,x,,
Time Warner Cable,116,twc.com,Time Warner Cable Inc.,,,
Western Refining,289,wnr.com,Piet Jonas,x,,
Electronic Arts,543,ea.com,Tuyet Nhung,94478,,
Bristol-Myers Squibb,168,bms.com,Bertha Borjas,209111,,
Reinsurance Group of America,271,rgare.com,RGA Reinsurance Company,,,
Salesforce,386,salesforce.com,ABBYY USA Software House Inc,33041,,
ConAgra Foods,176,conagrafoods.com,LATINO MOBILE SA DE CV,x,,
Microsoft,25,microsoft.com,Microsoft Corporation,,,
American Electric Power,165,aep.com,American Electric Power Service Corporation,,,
Baker Hughes,178,bakerhughes.com,"Baker Hughes Oilfield Operations, Inc",,,
Cardinal Health,21,cardinalhealth.com,"Cardinal Health, Inc",,,
Johnson Controls,70,johnsoncontrols.com,"Johnson Controls, Inc.",,,
Symantec,400,symantec.com,Symantec,,,
Computer Sciences,233,csc.com,Computer Sciences Corporation,,,
H&R Block,712,hrblock.com,"HRB Tax Group, Inc.",,,
